uuid,source,orig_id,GID_0,COUNTRY,CC_1,ENGTYPE_1,GID_1,HASC_1,ISO_1,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,CC_2,ENGTYPE_2,GID_2,HASC_2,NAME_2,NL_NAME_2,TYPE_2,VARNAME_2,CC_3,ENGTYPE_3,GID_3,HASC_3,NAME_3,NL_NAME_3,TYPE_3,VARNAME_3,CC_4,ENGTYPE_4,GID_4,NAME_4,TYPE_4,VARNAME_4,CC_5,ENGTYPE_5,GID_5,NAME_5,TYPE_5
0035bf68-8f76-490c-b1d9-8865cafb820c,Mapillary,718005759263560,GBR,United Kingdom,,Constituent Country,GBR.1_1,,,,,Constituent Country,,,,GBR.1.36_1,GB.GL,,,,,,,GBR.1.36.33_1,,City of Westminster,,,,,,GBR.1.36.33.15_1,St James's,,,,,,,
0035bf98-156f-4817-8975-81182c54f268,Mapillary,515292759881624,CHL,Chile,RM,Metropolian Region,CHL.14_1,CL.RM,,Santiago Metropolitan,,Región Metropolitana,Región Metropolitana|Région Metr,,Province,CHL.14.5_1,CL.RM.SG,Santiago,,Provincia,,,Municipality,CHL.14.5.18_1,,Maipú,,Comuna,,,,,,,,,,,,
0035c35c-bbae-4734-b506-3bddbb4b70b1,Mapillary,852758255902142,LVA,Latvia,,Province,LVA.3_1,R,LV-RIX,Riga,,Province,,,District,LVA.3.3_1,LV.RG,Riga,,Aprinki|rajoni,Riga incl. Jurmala|Riia,,,,,,,,,,,,,,,,,,,
0035c6d2-6759-413f-ab2f-552667a59217,Mapillary,481282340068524,COL,Colombia,,Department,COL.28_2,CO.ST,CO-SAN,Santander,,Departamento,,,Municipality,COL.28.9_2,CO.ST.BU,Bucaramanga,,Municipio,,,,,,,,,,,,,,,,,,,,
0035c7af-3a24-4389-9abb-4e7dad5892ba,Mapillary,481336746447657,USA,United States,,State,USA.22_1,US.MA,US-MA,Massachusetts,,State,Commonwealth of Massachusetts|MA,,County,USA.22.9_1,US.MA.MI,Middlesex,,County,,,,,,,,,,,,,,,,,,,,
0035c7db-1b4c-44ae-b492-1ce383db0391,Mapillary,130012482455658,PRY,Paraguay,,Department,PRY.9_1,PY.CE,PY-11,Central,,Departamento,,,District,PRY.9.15_1,PY.CE.SL,San Lorenzo,,Distrito,,,,,,,,,,,,,,,,,,,,
0035c83d-0fcd-429f-9b63-ac6c81f3377f,Mapillary,180535771039841,GRC,Greece,,Decentralized administration,GRC.3_1,GR.AT,,Attica,Αττική,Apokentroménes dioikíseis,,,Region,GRC.3.1_1,,Attica,Αττική,Periféreia,,,Municipality,GRC.3.1.12_1,GR.AT.AT,Athens,Αθηναίων,Dímos,,,,,,,,,,,,
0035ceb1-294d-458b-97a7-450dfef846a5,Mapillary,320279789455825,USA,United States,,State,USA.22_1,US.MA,US-MA,Massachusetts,,State,Commonwealth of Massachusetts|MA,,County,USA.22.9_1,US.MA.MI,Middlesex,,County,,,,,,,,,,,,,,,,,,,,
0035d0bb-0222-4626-bf57-119f105fcb2d,Mapillary,468627621020524,POL,Poland,12.0,Voivodeship,POL.6_1,,,Małopolskie,,Województwo,,1261.0,City with powiat rights,POL.6.6_1,,Kraków (City),,Miasto na prawach powiatu,,1261011.0,City County,POL.6.6.1_1,,Kraków,,Miasto na prawach powiatu,,,,,,,,,,,,
0035d2ed-8568-46e3-97ea-1400e078c41a,KartaView,9625746,SVK,Slovakia,,Region,SVK.2_1,SK.BL,,Bratislavský,,Kraj,Bratislava,101.0,District,SVK.2.1_1,SK.BL.B1,Bratislava I,,Okres,,,,,,,,,,,,,,,,,,,,
0035d312-37dc-4666-9e5c-de2bb44a2b30,KartaView,1377930597,OMN,Oman,,Province,OMN.11_1,OM.MA,,Muscat,,Muhafazah,Masqat,,Province,OMN.11.3_1,OM.MA.MS,Muscat,,Wilayat,,,,,,,,,,,,,,,,,,,,
0035d385-f9f3-4d9b-ad76-e1c50afcf048,Mapillary,370566327732071,KWT,Kuwait,,Province,KWT.4_1,KW.KU,,Al Kuwayt,العاصمه,Muhafazah,"Al Asimah, Capital, Kuwait",,,,,,,,,,,,,,,,,,,,,,,,,,,
0035d72d-7fb2-4a5e-933f-43f4b662f6cd,Mapillary,721374239387590,JPN,Japan,,Metropolis,JPN.41_1,JP.TK,JP-13,Tokyo,東京都,To,Edo|Yedo|Tokio|T¢quio,,Special Ward,JPN.41.46_1,,Shinagawa,品川区,Special Ward,,,,,,,,,,,,,,,,,,,,
0035d8aa-9eea-4f5a-abff-c0a5c22984b0,Mapillary,382173076477502,TWN,Taiwan,,Special Municipality,TWN.6_1,TW.TP,TW-TPE,Taipei,台北,Zhíxiáshì,Taibei|Taipé|Taipeh,,Special Municipality,TWN.6.1_1,TW.TP.TC,Taipei,台北市,Zhíxiáshì,Táiběi Shì,,,,,,,,,,,,,,,,,,,
0035da17-d698-487f-9fae-36a849f1e47b,Mapillary,2890234357900515,TWN,Taiwan,,Special Municipality,TWN.6_1,TW.TP,TW-TPE,Taipei,台北,Zhíxiáshì,Taibei|Taipé|Taipeh,,Special Municipality,TWN.6.1_1,TW.TP.TC,Taipei,台北市,Zhíxiáshì,Táiběi Shì,,,,,,,,,,,,,,,,,,,
0035da33-9a1b-4659-bbdc-85d77c143a00,Mapillary,517164749692552,BRA,Brazil,,Federal District,BRA.7_1,BR.DF,BR-DF,Distrito Federal,,Distrito Federal,,5300108,Municipality,BRA.7.1_2,,Brasília,,Município,,,,,,,,,,,,,,,,,,,,
0035da5e-e7fa-4216-ade0-f62682cd3383,Mapillary,664890684808002,DNK,Denmark,,Region,DNK.1_1,DK.HS,DK-84,Hovedstaden,,Region,Capital,,Municipality,DNK.1.25_1,DK.HS.KO,København,,Kommune,,,,,,,,,,,,,,,,,,,,
0035dbb6-0265-4533-8c49-4d05cd225e73,Mapillary,231218275441054,MYS,Malaysia,,Federal Territory,MYS.4_1,MY.KL,,Kuala Lumpur,,Wilayah Persekutuan,Federal Territory of Kuala Lumpu,,Federal Territory,MYS.4.1_1,MY.KL.KL,Kuala Lumpur,,Wilayah Persekutuan,,,,,,,,,,,,,,,,,,,,
0035dbc1-b8af-4fbf-8aec-106f870b0edd,Mapillary,1617417118458022,MEX,México,,Federal District,MEX.9_1,MX.DF,,Distrito Federal,,Distrito Federal,,,Municipality,MEX.9.6_2,,Cuauhtémoc,,Município,,,,,,,,,,,,,,,,,,,,
0035dc58-e9e7-4333-94d9-7c6f7af0b135,KartaView,298912171,BRA,Brazil,,State,BRA.25_1,BR.SP,,São Paulo,,Estado,,3550308,Municipality,BRA.25.565_2,,São Paulo,,Município,,,,,,,,,,,,,,,,,,,,
0035ddfa-0b1d-45c5-891a-ce716f65e463,Mapillary,4549490718418645,AUS,Australia,1.0,State,AUS.5_1,AU.NS,AU-NSW,New South Wales,,State,,17200.0,City,AUS.5.122_1,AU.NS.SY,Sydney,,City,,,,,,,,,,,,,,,,,,,,
0035e022-e182-419e-82f7-33f80e4bc536,KartaView,1121328466,DEU,Germany,11.0,State,DEU.3_1,DE.BE,DE-BE,Berlin,,Land,,11000.0,District,DEU.3.1_1,DE.BE.BR,Berlin,,Kreisfreie Stadt,,110000000.0,Municipality,DEU.3.1.1_1,,Berlin,,Gemeinschaftsfreie Gemeinde,,110000000000.0,Town,DEU.3.1.1.1_1,Berlin,Stadt,,,,,,
0035e435-4973-4b39-a22f-23d1bf3161b5,Mapillary,731667664622079,BRA,Brazil,,State,BRA.12_1,BR.MT,BR-MT,Mato Grosso,,Estado,Matto Grosso,5106752.0,Municipality,BRA.12.97_2,,Pontes e Lacerda,,Município,,,,,,,,,,,,,,,,,,,,
0035e461-2623-42e5-b8cd-58683cf13f08,KartaView,6923898,USA,United States,,State,USA.5_1,US.CA,US-CA,California,,State,CA|Calif.,,County,USA.5.38_1,US.CA.SF,San Francisco,,County,,,,,,,,,,,,,,,,,,,,
0035e4fa-6d75-4906-be9b-e4605daab76b,Mapillary,807830629842780,MEX,México,,State,MEX.19_1,MX.NL,,Nuevo León,,Estado,,,Municipality,MEX.19.40_2,,Monterrey,,Município,,,,,,,,,,,,,,,,,,,,
